id,symbol_a,symbol_b,value
"1","NVDA","AAPL","0.73"
"2","NVDA","MSFT","0.75"
"3","NVDA","AMZN","0.5"
"4","NVDA","GOOGL","0.75"
"5","NVDA","META","0.72"
"6","NVDA","AVGO","0.63"
"7","NVDA","ASML","0.57"
"8","NVDA","TSM","0.69"
"9","NVDA","JPM","0.31"
"10","NVDA","LLY","0.18"
"11","NVDA","BND","-0.18"
"12","AAPL","MSFT","0.59"
"13","AAPL","AMZN","0.52"
"14","AAPL","GOOGL","0.65"
"15","AAPL","META","0.51"
"16","AAPL","AVGO","0.55"
"17","AAPL","ASML","0.63"
"18","AAPL","TSM","0.52"
"19","AAPL","JPM","0.18"
"20","AAPL","LLY","0.18"
"21","AAPL","BND","-0.23"
"22","MSFT","AMZN","0.65"
"23","MSFT","GOOGL","0.61"
"24","MSFT","META","0.62"
"25","MSFT","AVGO","0.72"
"26","MSFT","ASML","0.61"
"27","MSFT","TSM","0.69"
"28","MSFT","JPM","0.2"
"29","MSFT","LLY","0.4"
"30","MSFT","BND","-0.02"
"31","AMZN","GOOGL","0.74"
"32","AMZN","META","0.75"
"33","AMZN","AVGO","0.6"
"34","AMZN","ASML","0.55"
"35","AMZN","TSM","0.5"
"36","AMZN","JPM","0.4"
"37","AMZN","LLY","0.38"
"38","AMZN","BND","-0.09"
"39","GOOGL","META","0.72"
"40","GOOGL","AVGO","0.6"
"41","GOOGL","ASML","0.75"
"42","GOOGL","TSM","0.68"
"43","GOOGL","JPM","0.38"
"44","GOOGL","LLY","0.31"
"45","GOOGL","BND","0.01"
"46","META","AVGO","0.72"
"47","META","ASML","0.59"
"48","META","TSM","0.72"
"49","META","JPM","0.33"
"50","META","LLY","0.16"
"51","META","BND","-0.23"
"52","AVGO","ASML","0.6"
"53","AVGO","TSM","0.58"
"54","AVGO","JPM","0.34"
"55","AVGO","LLY","0.28"
"56","AVGO","BND","-0.06"
"57","ASML","TSM","0.64"
"58","ASML","JPM","0.23"
"59","ASML","LLY","0.29"
"60","ASML","BND","-0.25"
"61","TSM","JPM","0.29"
"62","TSM","LLY","0.37"
"63","TSM","BND","-0.17"
"64","JPM","LLY","0.26"
"65","JPM","BND","-0.22"
"66","LLY","BND","0.01"
