id,fund_symbol,holding_symbol,weight
"1","QQQ","NVDA","8.4"
"2","QQQ","AAPL","8.1"
"3","QQQ","MSFT","7.6"
"4","QQQ","AMZN","5.2"
"5","QQQ","GOOGL","4.8"
"6","QQQ","META","4.6"
"7","QQQ","AVGO","4.1"
"8","VTI","NVDA","6.2"
"9","VTI","AAPL","6.4"
"10","VTI","MSFT","5.9"
"11","VTI","AMZN","3.4"
"12","VTI","GOOGL","3.2"
"13","VTI","META","2.4"
"14","VTI","JPM","1.3"
"15","VTI","LLY","1.2"
"16","VTI","AVGO","1.6"
"17","VTI","XOM","1.1"
"18","VXUS","ASML","1.8"
"19","VXUS","TSM","2.4"
"20","VXUS","NVO","1.1"
"21","VXUS","MC","0.7"
"22","VXUS","NSRGY","0.9"
"23","VXUS","TM","0.8"
"24","VXUS","SHEL","1"
"25","VXUS","SAP","0.6"
