id,portfolio_id,year,month,portfolio_ret,benchmark_ret
"1","1","2021","1","5.64","-1.78"
"2","1","2021","2","4.6","1.18"
"3","1","2021","3","4.79","-0.32"
"4","1","2021","4","-0.75","4.69"
"5","1","2021","5","7.47","-3.25"
"6","1","2021","6","2.04","0.87"
"7","1","2021","7","3.13","6.25"
"8","1","2021","8","-0.8","-2.12"
"9","1","2021","9","1.05","0.34"
"10","1","2021","10","-1.89","-1.7"
"11","1","2021","11","4.78","-3.57"
"12","1","2021","12","11.08","6.1"
"13","1","2022","1","2.99","-2.5"
"14","1","2022","2","-1.86","-0.68"
"15","1","2022","3","-2.91","1.21"
"16","1","2022","4","-3.29","-3.66"
"17","1","2022","5","-1.78","-1.17"
"18","1","2022","6","-2.51","-3.52"
"19","1","2022","7","-1.32","-3.46"
"20","1","2022","8","7.1","-5.79"
"21","1","2022","9","-3.44","-1.11"
"22","1","2022","10","3.87","2.4"
"23","1","2022","11","-1.53","-0.46"
"24","1","2022","12","-0.84","0.75"
"25","1","2023","1","4.09","6.76"
"26","1","2023","2","5.89","-1.09"
"27","1","2023","3","-2.67","4.55"
"28","1","2023","4","5.67","2.79"
"29","1","2023","5","2.57","4.31"
"30","1","2023","6","2.98","-2.23"
"31","1","2023","7","7.15","2.72"
"32","1","2023","8","0.67","1.06"
"33","1","2023","9","4.03","-0.35"
"34","1","2023","10","-2.95","8.7"
"35","1","2023","11","-2.95","2.35"
"36","1","2023","12","3.36","-0.65"
"37","1","2024","1","-2.15","0.64"
"38","1","2024","2","-7.51","-4.74"
"39","1","2024","3","0.12","-1.2"
"40","1","2024","4","-1.55","1.62"
"41","1","2024","5","-0.15","-3.51"
"42","1","2024","6","-2.3","0.52"
"43","1","2024","7","-1.67","-0.82"
"44","1","2024","8","0.3","5.18"
"45","1","2024","9","2.35","-2.81"
"46","1","2024","10","1.98","-2.77"
"47","1","2024","11","2.1","0.52"
"48","1","2024","12","1.87","2.28"
"49","1","2025","1","0.78","0.17"
"50","1","2025","2","2.89","-1.45"
"51","1","2025","3","7.1","4.14"
"52","1","2025","4","6.32","0.21"
"53","1","2025","5","4.28","2.13"
"54","1","2025","6","7.59","-0.39"
"55","1","2025","7","3.98","3"
"56","1","2025","8","1.26","3.66"
"57","1","2025","9","4.19","4.27"
"58","1","2025","10","-0.64","2.72"
"59","1","2025","11","-1.3","0.54"
"60","1","2025","12","3.48","7.38"
"61","1","2026","1","4.45","-0.15"
"62","1","2026","2","-1.04","0.52"
"63","1","2026","3","5.71","0.92"
