id,portfolio_id,date,nav,benchmark,drawdown
"1","1","2021-01-15","1642000","100","0"
"2","1","2021-01-16","1645250","101.45","0"
"3","1","2021-01-17","1636396","100.22","-0.54"
"4","1","2021-01-18","1630458","99.96","-0.9"
"5","1","2021-01-19","1644894","99.44","-0.02"
"6","1","2021-01-20","1666553","100.37","0"
"7","1","2021-01-21","1672536","99.76","0"
"8","1","2021-01-22","1686872","99.54","0"
"9","1","2021-01-23","1700887","98.41","0"
"10","1","2021-01-24","1672224","99.82","-1.69"
"11","1","2021-01-25","1685441","100.24","-0.91"
"12","1","2021-01-26","1684754","100.69","-0.95"
"13","1","2021-01-27","1665052","99.89","-2.11"
"14","1","2021-01-28","1636087","100.39","-3.81"
"15","1","2021-01-29","1606106","100.58","-5.57"
"16","1","2021-01-30","1599980","101.11","-5.93"
"17","1","2021-01-31","1609680","99.84","-5.36"
"18","1","2021-02-01","1622230","100.99","-4.62"
"19","1","2021-02-02","1638851","100.53","-3.65"
"20","1","2021-02-03","1655378","101.55","-2.68"
"21","1","2021-02-04","1665458","101.27","-2.08"
"22","1","2021-02-05","1691478","100.8","-0.55"
"23","1","2021-02-06","1688396","101.95","-0.73"
"24","1","2021-02-07","1692560","101.36","-0.49"
"25","1","2021-02-08","1693618","101.59","-0.43"
"26","1","2021-02-09","1669714","102.28","-1.83"
"27","1","2021-02-10","1673718","104.1","-1.6"
"28","1","2021-02-11","1656628","103.58","-2.6"
"29","1","2021-02-12","1653211","104.31","-2.8"
"30","1","2021-02-13","1655416","104.37","-2.67"
"31","1","2021-02-14","1670238","104.09","-1.8"
"32","1","2021-02-15","1658834","104.51","-2.47"
"33","1","2021-02-16","1672103","105.16","-1.69"
"34","1","2021-02-17","1676578","105.91","-1.43"
"35","1","2021-02-18","1663318","106.23","-2.21"
"36","1","2021-02-19","1655913","106","-2.64"
"37","1","2021-02-20","1680060","106.01","-1.22"
"38","1","2021-02-21","1687901","106.59","-0.76"
"39","1","2021-02-22","1682437","105.94","-1.08"
"40","1","2021-02-23","1683211","105.64","-1.04"
"41","1","2021-02-24","1678874","105.66","-1.29"
"42","1","2021-02-25","1685551","106.28","-0.9"
"43","1","2021-02-26","1705602","106.27","0"
"44","1","2021-02-27","1700406","106.92","-0.3"
"45","1","2021-02-28","1688022","107.2","-1.03"
"46","1","2021-03-01","1673679","105.98","-1.87"
"47","1","2021-03-02","1682491","106.63","-1.35"
"48","1","2021-03-03","1698269","105.64","-0.43"
"49","1","2021-03-04","1690257","104.64","-0.9"
"50","1","2021-03-05","1703982","105.27","-0.09"
"51","1","2021-03-06","1717552","104.96","0"
"52","1","2021-03-07","1693811","104.84","-1.38"
"53","1","2021-03-08","1681162","103.79","-2.12"
"54","1","2021-03-09","1700617","102.72","-0.99"
"55","1","2021-03-10","1725783","101.63","0"
"56","1","2021-03-11","1732513","101.28","0"
"57","1","2021-03-12","1718692","102.6","-0.8"
"58","1","2021-03-13","1714516","102.34","-1.04"
"59","1","2021-03-14","1729515","103.25","-0.17"
"60","1","2021-03-15","1726077","101.79","-0.37"
"61","1","2021-03-16","1711579","102.42","-1.21"
"62","1","2021-03-17","1696413","102.92","-2.08"
"63","1","2021-03-18","1694396","102.35","-2.2"
"64","1","2021-03-19","1711837","102.51","-1.19"
"65","1","2021-03-20","1726883","102.35","-0.32"
"66","1","2021-03-21","1731689","101.76","-0.05"
"67","1","2021-03-22","1733324","102.07","0"
"68","1","2021-03-23","1731929","101.55","-0.08"
"69","1","2021-03-24","1724963","99.93","-0.48"
"70","1","2021-03-25","1748161","99.43","0"
"71","1","2021-03-26","1749702","97.97","0"
"72","1","2021-03-27","1753968","98.07","0"
"73","1","2021-03-28","1767875","97.95","0"
"74","1","2021-03-29","1761739","97.5","-0.35"
"75","1","2021-03-30","1744982","96.63","-1.29"
"76","1","2021-03-31","1755611","96.08","-0.69"
"77","1","2021-04-01","1744544","96.47","-1.32"
"78","1","2021-04-02","1740331","96.72","-1.56"
"79","1","2021-04-03","1774678","96.93","0"
"80","1","2021-04-04","1755897","97.49","-1.06"
"81","1","2021-04-05","1771647","97.99","-0.17"
"82","1","2021-04-06","1768830","97.42","-0.33"
"83","1","2021-04-07","1765172","97.29","-0.54"
"84","1","2021-04-08","1754326","96.55","-1.15"
"85","1","2021-04-09","1767882","96.41","-0.38"
"86","1","2021-04-10","1750330","96.97","-1.37"
"87","1","2021-04-11","1723373","97.04","-2.89"
"88","1","2021-04-12","1711821","97.49","-3.54"
"89","1","2021-04-13","1721288","97.42","-3.01"
"90","1","2021-04-14","1709635","97","-3.67"
"91","1","2021-04-15","1703359","97.31","-4.02"
"92","1","2021-04-16","1717516","96.74","-3.22"
"93","1","2021-04-17","1713185","95.82","-3.47"
"94","1","2021-04-18","1760458","95.75","-0.8"
"95","1","2021-04-19","1760492","96.27","-0.8"
"96","1","2021-04-20","1754614","97.73","-1.13"
"97","1","2021-04-21","1763837","97.7","-0.61"
"98","1","2021-04-22","1775697","97.45","0"
"99","1","2021-04-23","1788502","96.1","0"
"100","1","2021-04-24","1778438","96.33","-0.56"
